dataset,runs,mean_total_pedestrians,median_total_pedestrians,mean_occupancy,median_speed_mps,mean_neighbours_within_3m,mean_local_density_per_m2,forecasts
calibration,7,464.42857142857144,483.0,74.82102374476537,0.6307975907188844,33.605198376721496,1.1885407633864362,38206
corridor held-out,5,621.8,736.0,90.83875116485467,0.39816910863028293,40.587545144589896,1.4354907639393195,28507
altered geometry,3,602.0,559.0,132.18961111111113,0.30801834660625027,58.73444444444444,2.077306036242143,18000
crossing external,13,611.7692307692307,606.0,92.62620512820513,0.9235038250129554,32.70782051282051,1.1568025138617501,78000
