dataset,run,total_pedestrians,mean_simultaneous_occupancy,median_speed_mps,mean_neighbours_within_3m,mean_local_density_per_m2,forecasts
calibration,bi_corr_400_a_01,377,68.25783333333334,0.6307975907188844,30.678833333333333,1.0850417718427574,6000
calibration,bi_corr_400_a_02,521,106.71916666666667,0.3756906932888543,47.98,1.6969453710109195,6000
calibration,bi_corr_400_b_01,141,15.383499546690842,1.3489420094547382,6.713055303717135,0.23742576329685483,2206
calibration,bi_corr_400_b_03,480,39.999,1.0225387242268207,18.097166666666666,0.640056340212862,6000
calibration,bi_corr_400_b_05,643,102.391,0.41757402839840185,45.707,1.6165544408669468,6000
calibration,bi_corr_400_b_07,606,129.53016666666667,0.3227878205526762,58.40133333333333,2.0655246407016614,6000
calibration,bi_corr_400_b_09,483,61.4665,0.6833514015049826,27.659,0.9782370157730518,6000
corridor held-out,bi_corr_400_a_03,541,117.21983333333333,0.36109064221891735,51.785333333333334,1.831531506591444,6000
corridor held-out,bi_corr_400_b_02,259,24.62125582427335,1.2419004713039612,10.854892389616152,0.3839132845640015,4507
corridor held-out,bi_corr_400_b_04,743,92.76733333333334,0.4559648459146375,41.75683333333333,1.4768458739698722,6000
corridor held-out,bi_corr_400_b_06,830,119.36233333333334,0.3363261620126573,53.81733333333333,1.9033988053387174,6000
corridor held-out,bi_corr_400_b_10,736,100.223,0.39816910863028293,44.723333333333336,1.5817643492325628,6000
altered geometry,bi_corr_400_a_04,544,129.5385,0.30801834660625027,57.662,2.0393760730144153,6000
altered geometry,bi_corr_400_a_05,559,125.287,0.3244366395294924,55.223333333333336,1.953125883113652,6000
altered geometry,bi_corr_400_b_08,703,141.74333333333334,0.2692320453353782,63.318,2.239416152598362,6000
crossing external,crossing_90_d_1,655,81.0475,1.1691329467138334,29.790666666666667,1.0536293017784348,6000
crossing external,crossing_90_d_2,606,67.72883333333333,1.6862726921682083,22.262666666666668,0.7873807658682598,6000
crossing external,crossing_90_d_3,620,43.922,1.7170423237486887,13.552166666666666,0.47930984769004764,6000
crossing external,crossing_90_d_5,625,78.5335,1.257767114103025,26.982333333333333,0.9543048280340483,6000
crossing external,crossing_90_d_6,600,124.48383333333334,0.8078559585474284,38.505,1.3618357963896512,6000
crossing external,crossing_90_d_7,623,151.48416666666665,0.6775991591849257,46.1995,1.6339730651942264,6000
crossing external,crossing_90_d_8,623,173.4755,0.5671501808432907,53.851333333333336,1.9046013093531897,6000
crossing external,crossing_90_e_1,600,77.754,1.0135055362468726,26.7575,0.9463529755069755,6000
crossing external,crossing_90_e_2,606,67.3335,0.9235038250129554,30.946,1.0944908597603986,6000
crossing external,crossing_90_e_3,599,57.332166666666666,0.9619088760310055,27.000833333333333,0.9549591316889816,6000
crossing external,crossing_90_e_4,599,68.96083333333333,0.6370096153120453,31.441,1.111997903500507,6000
crossing external,crossing_90_e_5,602,87.50333333333333,0.5525820066130838,37.4515,1.324575855823582,6000
crossing external,crossing_90_e_6,595,124.5815,0.5844976440361374,40.461166666666664,1.43102103961445,6000
