seed,dataset,run,model,vector_rmse_mps,displacement_mae_m,speed_mae_mps,median_angle_deg,vector_r2,samples
20260722,corridor held-out,bi_corr_400_a_03,interaction_mlp,0.17101286770556623,0.058460229217402876,0.07782468075903518,13.275255710752983,0.8743743081652794,6000.0
20260722,corridor held-out,bi_corr_400_a_03,tensor_residual,0.18013092380399257,0.06100654264930529,0.07713682891941655,14.264499660882567,0.8606209693800664,6000.0
20260722,corridor held-out,bi_corr_400_a_03,gel_ped,0.1725906661220173,0.058822276127205246,0.07641721470330003,13.737062603738844,0.8720455197895183,6000.0
20260722,corridor held-out,bi_corr_400_b_02,interaction_mlp,0.19332791075742403,0.06470513976282825,0.06556030581758253,5.132760260261998,0.9763355630142618,4507.0
20260722,corridor held-out,bi_corr_400_b_02,tensor_residual,0.20426175765670762,0.06834973945953651,0.07036229140264452,5.474347527281779,0.9735831402571633,4507.0
20260722,corridor held-out,bi_corr_400_b_02,gel_ped,0.19589033224464925,0.06546291869522218,0.06662561730944082,5.211315224420224,0.975704095786325,4507.0
20260722,corridor held-out,bi_corr_400_b_04,interaction_mlp,0.188681764299569,0.0638551606643648,0.07946151832044232,12.120632232305573,0.8893601751918999,6000.0
20260722,corridor held-out,bi_corr_400_b_04,tensor_residual,0.19599104846269333,0.06612150798217128,0.08220111692033485,12.500184811014206,0.8806220560537377,6000.0
20260722,corridor held-out,bi_corr_400_b_04,gel_ped,0.19033940325159235,0.06436697489769094,0.08008852986043175,12.209370720593085,0.8874076123020836,6000.0
20260722,corridor held-out,bi_corr_400_b_06,interaction_mlp,0.1901117045011234,0.06441915294308145,0.08309041421339936,15.470060289732771,0.8203536957354796,6000.0
20260722,corridor held-out,bi_corr_400_b_06,tensor_residual,0.1993221669745809,0.06730172074210183,0.08498226621229962,16.662962926522955,0.8025251575547558,6000.0
20260722,corridor held-out,bi_corr_400_b_06,gel_ped,0.19177284340202463,0.0649244475045772,0.08334909993371993,15.803716419995816,0.8172005894474332,6000.0
20260722,corridor held-out,bi_corr_400_b_10,interaction_mlp,0.16633955599772624,0.05651697152715543,0.06928729958025513,12.798231799700718,0.8829791148245872,6000.0
20260722,corridor held-out,bi_corr_400_b_10,tensor_residual,0.17458570174805169,0.05937170179431455,0.07171020985403388,13.3708227597996,0.8710890975041572,6000.0
20260722,corridor held-out,bi_corr_400_b_10,gel_ped,0.16826566064929813,0.05722388424874878,0.0695643610780313,13.02459860823173,0.8802533719172347,6000.0
20260722,altered geometry,bi_corr_400_a_04,interaction_mlp,0.1800637891705431,0.060779960208861145,0.08044996169249881,15.467387719483957,0.8209483607546204,6000.0
20260722,altered geometry,bi_corr_400_a_04,tensor_residual,0.18934533749469612,0.06392891250116657,0.0812429287235068,16.50526266581058,0.8020138720334807,6000.0
20260722,altered geometry,bi_corr_400_a_04,gel_ped,0.18114560890814202,0.06120414872192457,0.07978692221702871,15.855298556933121,0.8187904202159715,6000.0
20260722,altered geometry,bi_corr_400_a_05,interaction_mlp,0.17525198233404954,0.0596797184620972,0.07696998375175258,15.73248325461414,0.8060141418947158,6000.0
20260722,altered geometry,bi_corr_400_a_05,tensor_residual,0.18220692493302748,0.06212501414140956,0.07644231846634947,16.58739363101367,0.7903118203836254,6000.0
20260722,altered geometry,bi_corr_400_a_05,gel_ped,0.17629228405905117,0.060005404222221115,0.07565695208491736,16.058502290979806,0.8037042932151909,6000.0
20260722,altered geometry,bi_corr_400_b_08,interaction_mlp,0.18414933711452536,0.06245417562867015,0.08125162887944767,17.235507656182342,0.7688299211972822,6000.0
20260722,altered geometry,bi_corr_400_b_08,tensor_residual,0.1912058119641989,0.06457745570417255,0.08403570327389369,18.50275399131475,0.7507739240622149,6000.0
20260722,altered geometry,bi_corr_400_b_08,gel_ped,0.18465044955478901,0.06254095876078337,0.08178458001189057,17.475590916765277,0.7675700761098266,6000.0
20260722,crossing external,crossing_90_d_1,interaction_mlp,0.3672119246563919,0.12680426639466613,0.20325337553003678,8.420069183385335,0.8924431940359212,6000.0
20260722,crossing external,crossing_90_d_1,tensor_residual,0.3459747116357994,0.11915968943273268,0.17862227476553358,8.504316764426692,0.9045242547029099,6000.0
20260722,crossing external,crossing_90_d_1,gel_ped,0.35061911027681203,0.12119954613520317,0.18838916825651067,8.372642476518134,0.9019436977234034,6000.0
20260722,crossing external,crossing_90_d_2,interaction_mlp,0.38278258315498276,0.13203191101538525,0.22663006395175683,6.5530198372414254,0.9090084005508728,6000.0
20260722,crossing external,crossing_90_d_2,tensor_residual,0.35866083282186156,0.12249124562555283,0.19218524595985462,6.763754682983402,0.9201150686089766,6000.0
20260722,crossing external,crossing_90_d_2,gel_ped,0.36313132491925754,0.12475016768934964,0.20533331367375077,6.4804811593055485,0.9181112221013723,6000.0
20260722,crossing external,crossing_90_d_3,interaction_mlp,0.3589864735198246,0.12361279853426106,0.19647787995423754,5.799690134474346,0.9191019525890222,6000.0
20260722,crossing external,crossing_90_d_3,tensor_residual,0.3457402310129571,0.11918465003517985,0.1768322555986279,5.988239889960119,0.9249619213410414,6000.0
20260722,crossing external,crossing_90_d_3,gel_ped,0.34653931181686903,0.11946134688992482,0.18463163647690778,5.778574102713364,0.9246146618968196,6000.0
20260722,crossing external,crossing_90_d_5,interaction_mlp,0.3589555396004326,0.12323833183338824,0.18025416011169287,8.875501753945636,0.877749881186383,6000.0
20260722,crossing external,crossing_90_d_5,tensor_residual,0.3530354683811588,0.12145918220795911,0.17585677613270514,8.983600829418464,0.8817490469891205,6000.0
20260722,crossing external,crossing_90_d_5,gel_ped,0.3519915827158562,0.12115063226933716,0.17688920239283448,8.829697288637437,0.8824473222961899,6000.0
20260722,crossing external,crossing_90_d_6,interaction_mlp,0.33962347421346173,0.1159237314843406,0.16423962957309496,11.990256350937035,0.8556276128014749,6000.0
20260722,crossing external,crossing_90_d_6,tensor_residual,0.3409417212934242,0.11640937776857857,0.1639591719141085,12.07778288636437,0.8545046760640951,6000.0
20260722,crossing external,crossing_90_d_6,gel_ped,0.33720817289418104,0.11521402565959156,0.16305219323333145,11.789273084530606,0.8576737780885901,6000.0
20260722,crossing external,crossing_90_d_7,interaction_mlp,0.3483021254997385,0.11761184607915257,0.17431979168146594,13.692790897179288,0.8287474284438774,6000.0
20260722,crossing external,crossing_90_d_7,tensor_residual,0.35811842074891626,0.11978739849180411,0.1770479246795682,14.008421845298228,0.8189584857340855,6000.0
20260722,crossing external,crossing_90_d_7,gel_ped,0.34891176209033065,0.11757725718033407,0.1748325224861612,13.59146484508792,0.8281474137211697,6000.0
20260722,crossing external,crossing_90_d_8,interaction_mlp,0.35261972223896065,0.11804892471189676,0.18207323456609967,14.817904175229666,0.8132992196002597,6000.0
20260722,crossing external,crossing_90_d_8,tensor_residual,0.35353372662321947,0.11784692326436619,0.17812426276117266,15.417751340422221,0.8123300934804946,6000.0
20260722,crossing external,crossing_90_d_8,gel_ped,0.3490673563067305,0.11677312253793677,0.17889199433516986,14.97785672694626,0.8170419979694383,6000.0
20260722,crossing external,crossing_90_e_1,interaction_mlp,0.3486305748214879,0.11929343205678977,0.16437714205201323,10.835383552589533,0.8758938932353729,6000.0
20260722,crossing external,crossing_90_e_1,tensor_residual,0.34886118674854816,0.11893402744909357,0.16193232408186736,11.062275794702693,0.8757296516777276,6000.0
