model,mean_vector_rmse,sem_vector_rmse,mean_displacement_mae,mean_speed_mae,mean_angle,mean_r2
calibrated_persistence,0.4072011034977226,0.0051141599808214935,0.14076850654322962,0.15612053819538432,16.629038435910072,0.8012521325791009
isotropic_social_force,0.39630982450216573,0.0037185926247225447,0.13769195989622765,0.16034558156516,15.748836561009425,0.8133272176489401
anisotropic_geometry,0.38834114916402496,0.0025667890946824406,0.13594894295598342,0.17887471485684284,14.853831609093662,0.8232296160152897
constant_velocity,0.4106770851461372,0.005327772421575624,0.1418249760141273,0.15317353966141872,16.630509531377342,0.7975691662506782
decoupled_geometry,0.3784919535077861,0.004079617137134042,0.13089401546828794,0.15233851756061717,14.856169206036423,0.8288972732239551
