model,run,vector_rmse_mps,displacement_mae_m,speed_mae_mps,median_angle_deg,vector_r2,samples
persistence,bi_corr_400_a_03,0.22112086556637953,0.07777169152315963,0.08498262675424656,23.203940554305586,0.7605133243181936,6000.0
persistence,bi_corr_400_b_02,0.22150588083592224,0.07732978227129593,0.07612280257666672,6.829312996323109,0.9691132783763595,4766.0
persistence,bi_corr_400_b_04,0.2303313751811378,0.08045085268264919,0.08435038444147401,18.912976363697457,0.8282229364553076,6000.0
persistence,bi_corr_400_b_06,0.22116652413190604,0.0762044813979359,0.08571352163360003,24.352425561911147,0.7028109854210816,6000.0
persistence,bi_corr_400_b_10,0.21857062630955476,0.0765086817591436,0.07999028820219856,21.07210064667099,0.7857973175525024,6000.0
goal_only,bi_corr_400_a_03,0.43071296240579027,0.16290381380841287,0.3341602245290037,19.85147786158703,0.09134757817746764,6000.0
goal_only,bi_corr_400_b_02,0.6158976451304449,0.2366959152058462,0.5653182104916079,5.54769755600234,0.7612087663789681,4766.0
goal_only,bi_corr_400_b_04,0.3866271574487268,0.14158218277135146,0.26828566659740616,16.302371663813652,0.5160018671535203,6000.0
goal_only,bi_corr_400_b_06,0.4886020805061147,0.18526337396157924,0.37818208018682226,23.92372255183809,-0.4504561057642842,6000.0
goal_only,bi_corr_400_b_10,0.3918646199424972,0.14642909703297,0.2956026333249241,17.054713445407693,0.3114849775398161,6000.0
canonical_field,bi_corr_400_a_03,0.4246357984762048,0.1601137811228257,0.3271547332309799,18.781088900401237,0.11680802881422436,6000.0
canonical_field,bi_corr_400_b_02,0.610790956474495,0.23452745912267253,0.559652019826247,5.573928026568266,0.765152204246137,4766.0
canonical_field,bi_corr_400_b_04,0.38036010583177937,0.1388389673166893,0.26287400172664915,15.939037226264524,0.5315654792145512,6000.0
canonical_field,bi_corr_400_b_06,0.478040795936384,0.18088914580332968,0.36801114731361734,22.88525473708553,-0.3884296785266317,6000.0
canonical_field,bi_corr_400_b_10,0.3909890538654306,0.14634157165452905,0.29585730653821235,16.914548438775377,0.31455831912649623,6000.0
isotropic_social_force,bi_corr_400_a_03,0.2148980339662073,0.07601388001936091,0.08243817179837391,21.635825573165857,0.7738030270629775,6000.0
isotropic_social_force,bi_corr_400_b_02,0.2199951143523149,0.07765255700890168,0.08873637797332874,6.611289896993512,0.9695331633378191,4766.0
isotropic_social_force,bi_corr_400_b_04,0.22160196649978145,0.07788978433672988,0.08055458158380821,17.58942526999679,0.8409966796963719,6000.0
isotropic_social_force,bi_corr_400_b_06,0.21665379108802915,0.07586851918442127,0.08444559712274724,22.834937248841257,0.7148150830575764,6000.0
isotropic_social_force,bi_corr_400_b_10,0.210844128231033,0.07457163924152702,0.07720312313098181,19.141492628934287,0.8006738246984024,6000.0
anisotropic_geometry,bi_corr_400_a_03,0.20330137136072893,0.07110232717835933,0.07806349919748835,20.74523603925229,0.7975571137482839,6000.0
anisotropic_geometry,bi_corr_400_b_02,0.21325875534743968,0.07464290475028817,0.08629778407124772,6.245339213031546,0.9713704163438499,4766.0
anisotropic_geometry,bi_corr_400_b_04,0.21210696607447177,0.07431592768233357,0.07848115469450696,16.864597650439546,0.8543304303295748,6000.0
anisotropic_geometry,bi_corr_400_b_06,0.20666995479354616,0.07157774664725329,0.08322934846283843,21.562033944925375,0.7404932517977814,6000.0
anisotropic_geometry,bi_corr_400_b_10,0.20232354891004609,0.07145695527493397,0.077110148637847,18.336701171216248,0.8164585407567364,6000.0
decoupled_geometry,bi_corr_400_a_03,0.2043982504237367,0.07157653751006086,0.07925172973035001,20.74523603925232,0.7953667262121537,6000.0
decoupled_geometry,bi_corr_400_b_02,0.20690493853242953,0.07099089227022055,0.06639885462330891,6.245339213031517,0.9730509782080979,4766.0
decoupled_geometry,bi_corr_400_b_04,0.2123666598803203,0.07424357415519316,0.07856947702034532,16.867007220867904,0.8539735100080336,6000.0
decoupled_geometry,bi_corr_400_b_06,0.20814015822572196,0.07192719849839317,0.08163471697521636,21.61909139013765,0.7367879743345367,6000.0
decoupled_geometry,bi_corr_400_b_10,0.20024147138755352,0.07046699482826185,0.07551672790285685,18.347773692890982,0.8202166919042866,6000.0
