horizon_s,dataset,run,model,vector_rmse_mps,displacement_mae_m,speed_mae_mps,median_angle_deg,vector_r2,samples
0.2,corridor held-out,bi_corr_400_a_03,direct_network,0.17673424985195854,0.030263843481379574,0.09066688198111057,9.494056963803255,0.9278897967522911,6000.0
0.2,corridor held-out,bi_corr_400_a_03,goal_stable_neural,0.17708645689239033,0.030326731062885443,0.09073838378933496,9.521799856303383,0.9276020989418902,6000.0
0.2,corridor held-out,bi_corr_400_a_03,gel_ped,0.17618068260530545,0.030126006231919057,0.08704029608365053,9.567887092084211,0.9283408166461177,6000.0
0.2,corridor held-out,bi_corr_400_b_02,direct_network,0.19681258543978494,0.03472038193462903,0.10434104015311031,4.919355081041237,0.9757477371830883,6000.0
0.2,corridor held-out,bi_corr_400_b_02,goal_stable_neural,0.19727353454765365,0.034740012910872274,0.10436778047465621,4.919355081041237,0.9756340030947853,6000.0
0.2,corridor held-out,bi_corr_400_b_02,gel_ped,0.19589155743261424,0.03459248849449145,0.10378897137118656,4.837755920219646,0.9759741937152834,6000.0
0.2,corridor held-out,bi_corr_400_b_04,direct_network,0.17106282386682325,0.02952028640752363,0.08173400907711019,9.002786616286881,0.9378638869526097,6000.0
0.2,corridor held-out,bi_corr_400_b_04,goal_stable_neural,0.17498013372856344,0.02979405370192209,0.08294049521976099,9.064772762984163,0.9349854895810635,6000.0
0.2,corridor held-out,bi_corr_400_b_04,gel_ped,0.17076201066847257,0.02952040276895329,0.07982419477621627,9.087037846975255,0.9380822269535329,6000.0
0.2,corridor held-out,bi_corr_400_b_06,direct_network,0.1712807309589507,0.029545498065547474,0.0826194384923064,10.619527669613538,0.9142357424223346,6000.0
0.2,corridor held-out,bi_corr_400_b_06,goal_stable_neural,0.1718899291908664,0.02963481540055163,0.08341243603110694,10.700181380362434,0.9136245779483407,6000.0
0.2,corridor held-out,bi_corr_400_b_06,gel_ped,0.17101361689279926,0.029516573147484678,0.08036855451126806,10.801065405468375,0.9145030343256106,6000.0
0.2,corridor held-out,bi_corr_400_b_10,direct_network,0.1539993598017344,0.02665317296063807,0.07224167140687505,8.619878995123408,0.9418746873196714,6000.0
0.2,corridor held-out,bi_corr_400_b_10,goal_stable_neural,0.15487437192944178,0.02675319282155185,0.0724129633030483,8.628038283318057,0.9412122839716086,6000.0
0.2,corridor held-out,bi_corr_400_b_10,gel_ped,0.15384723543845738,0.026708368512915717,0.07067052643188051,8.593921044213781,0.9419894658341272,6000.0
0.2,altered geometry,bi_corr_400_a_04,direct_network,0.16923728181162598,0.028980169546393597,0.08603360854770492,10.066586095783157,0.922359797711239,6000.0
0.2,altered geometry,bi_corr_400_a_04,goal_stable_neural,0.17162294597634634,0.0292908405201642,0.08744758551073471,10.149464080940142,0.9201554494324564,6000.0
0.2,altered geometry,bi_corr_400_a_04,gel_ped,0.16971518207113748,0.029031298043602147,0.08258915973131414,10.094427274110242,0.9219206904314851,6000.0
0.2,altered geometry,bi_corr_400_a_05,direct_network,0.16599575108933087,0.028757125364322636,0.0824873846126748,10.637889375340853,0.911195373196126,6000.0
0.2,altered geometry,bi_corr_400_a_05,goal_stable_neural,0.1668576181186581,0.02886933784371916,0.08279645060597987,10.662645740053218,0.9102708136768989,6000.0
0.2,altered geometry,bi_corr_400_a_05,gel_ped,0.16517388200107938,0.028614421235069055,0.07930347100978066,10.897203805186075,0.9120725654807457,6000.0
0.2,altered geometry,bi_corr_400_b_08,direct_network,0.163338784881537,0.02837282965104744,0.08253159382305536,10.958379948079408,0.9078758180990567,6000.0
0.2,altered geometry,bi_corr_400_b_08,goal_stable_neural,0.16641832997855455,0.02871540592919975,0.08412131748807607,11.018025987508572,0.9043693027337305,6000.0
0.2,altered geometry,bi_corr_400_b_08,gel_ped,0.16311190750274912,0.028305139652439967,0.08009440905317904,10.871049918923498,0.9081315611213898,6000.0
0.2,crossing external,crossing_90_d_1,direct_network,0.4271192619360872,0.07353503010647318,0.24612660619615634,9.847214184141409,0.8627093940708994,6000.0
0.2,crossing external,crossing_90_d_1,goal_stable_neural,0.4880342215662105,0.07706643708969427,0.2626982585586548,10.059512039264021,0.820756646888202,6000.0
0.2,crossing external,crossing_90_d_1,gel_ped,0.4140656793831656,0.07187226652478422,0.23322784218052253,9.959981200220707,0.8709728880788973,6000.0
0.2,crossing external,crossing_90_d_2,direct_network,0.44905413029045643,0.07776181722184317,0.27628274692428084,7.664447009108989,0.8806073448703678,6000.0
0.2,crossing external,crossing_90_d_2,goal_stable_neural,0.44908686448892476,0.07776487873473881,0.2762952050387647,7.6649880849346275,0.8805899377693004,6000.0
0.2,crossing external,crossing_90_d_2,gel_ped,0.44271570008103794,0.07669818862510763,0.26611286049451205,7.878770740761082,0.8839540288766543,6000.0
0.2,crossing external,crossing_90_d_3,direct_network,0.3961618433872607,0.07035235788264656,0.23295777017302188,7.05730447575081,0.903280235406195,6000.0
0.2,crossing external,crossing_90_d_3,goal_stable_neural,0.4001743556531586,0.07056481383404607,0.2339621573793794,7.050578620497295,0.9013110673861517,6000.0
0.2,crossing external,crossing_90_d_3,gel_ped,0.3915006030787016,0.06976691951112911,0.2262534996544069,7.0451977370373315,0.9055428551713229,6000.0
0.2,crossing external,crossing_90_d_5,direct_network,0.40151830075471023,0.06942151417889972,0.21390302301520261,9.878092965841308,0.8539111403738411,6000.0
0.2,crossing external,crossing_90_d_5,goal_stable_neural,0.44517662171307393,0.07293919103786144,0.2298225469241346,10.008588122373235,0.8204145660540823,6000.0
0.2,crossing external,crossing_90_d_5,gel_ped,0.3971370502428252,0.06884486249847205,0.208055776417612,9.918334705826874,0.8570819042473967,6000.0
0.2,crossing external,crossing_90_d_6,direct_network,0.3552988282726117,0.061347102541389434,0.1800938628224166,12.464859311139602,0.8540991706211035,6000.0
0.2,crossing external,crossing_90_d_6,goal_stable_neural,0.3560149107436567,0.061470701925966736,0.1810659839786893,12.478552792207612,0.853510470059496,6000.0
