goal_method,dataset,vector_rmse_mps,sem_vector_rmse_mps,displacement_mae_m,runs
entry,corridor held-out,0.2105094598077414,0.00379301097353064,0.07158310580708617,5
entry,crossing external,0.36939076618180633,0.006657725714731885,0.1256464072792674,13
endpoint,corridor held-out,0.19071566352436461,0.007790546966857922,0.0649875855740792,5
endpoint,crossing external,0.3417212267651065,0.005086908669795308,0.11709760398785929,13
prior_velocity,corridor held-out,0.22187005920917802,0.0031424130534800066,0.07738895675745391,5
prior_velocity,crossing external,0.40799233237218263,0.004740321716046002,0.14143921942787543,13
