run,model,vector_rmse_mps,displacement_mae_m,speed_mae_mps,median_angle_deg,vector_r2,samples
crossing_90_d_1,calibrated_persistence,0.39301622613845816,0.13599190932469524,0.15602798418957023,11.039760547909951,0.8777801485378436,6000.0
crossing_90_d_1,isotropic_social_force,0.3863346886722484,0.13476735870846476,0.16612456521299382,10.644061280822301,0.8819004619021102,6000.0
crossing_90_d_1,anisotropic_geometry,0.38871326128043726,0.13717786474332105,0.19703714989019067,9.992601146239572,0.8804417626024692,6000.0
crossing_90_d_1,constant_velocity,0.39507422453871166,0.13655143755919835,0.15161045309540336,11.039760547909918,0.8764968080753487,6000.0
crossing_90_d_1,decoupled_geometry,0.36674852267781227,0.12732111605902827,0.15533242840068562,9.992601146239682,0.8935715994159845,6000.0
crossing_90_d_2,calibrated_persistence,0.38887375030686383,0.13427836595964743,0.17120619380405655,7.915290445103173,0.9074520916391138,6000.0
crossing_90_d_2,isotropic_social_force,0.3900750891528383,0.13614693641585837,0.19088988854687725,7.715362372710254,0.9068793960924337,6000.0
crossing_90_d_2,anisotropic_geometry,0.4024472544857448,0.14259715776829052,0.23123507558184767,7.3140296392740565,0.9008786316217593,6000.0
crossing_90_d_2,constant_velocity,0.38972520167910324,0.13454054643898325,0.1668029237242612,7.91529044510315,0.9070463748166078,6000.0
crossing_90_d_2,decoupled_geometry,0.3678196620746241,0.1272754172563991,0.17234536958697125,7.3140296392740565,0.9172021169401539,6000.0
crossing_90_d_3,calibrated_persistence,0.36621217039948123,0.12611858926373862,0.15678026790979993,7.064138313728074,0.9161751397277677,6000.0
crossing_90_d_3,isotropic_social_force,0.3689287354581839,0.12880349128345656,0.18094312904366286,6.853709694726642,0.9149269000273436,6000.0
crossing_90_d_3,anisotropic_geometry,0.38068547318856727,0.13543237430486008,0.2234199549612525,6.464682205616602,0.9094184180648495,6000.0
crossing_90_d_3,constant_velocity,0.36772835810912424,0.1265770245824773,0.15355489406219427,7.064138313728023,0.9154796012925523,6000.0
crossing_90_d_3,decoupled_geometry,0.34523674841706464,0.11923994332188048,0.15869440765041015,6.464682205616659,0.9255025637945034,6000.0
crossing_90_d_5,calibrated_persistence,0.4045935447837523,0.140567423193599,0.16062372518566087,11.417523358090175,0.8476068972085333,6000.0
crossing_90_d_5,isotropic_social_force,0.3931471313562162,0.13736842480552083,0.16528323085501,11.046382513717932,0.8561076733103377,6000.0
crossing_90_d_5,anisotropic_geometry,0.3860785307486522,0.13626646690625782,0.1852945107765777,10.35524892046152,0.8612353909570938,6000.0
crossing_90_d_5,constant_velocity,0.4086555941172627,0.14169717204016172,0.1587000843050645,11.417523358090143,0.8445315353878577,6000.0
crossing_90_d_5,decoupled_geometry,0.374811131881552,0.1304859650256106,0.15674898233095697,10.355248920461538,0.8692166749681374,6000.0
crossing_90_d_6,calibrated_persistence,0.4116128050644847,0.14250633656130535,0.15090747573393157,17.366649878803052,0.7872514918321935,6000.0
crossing_90_d_6,isotropic_social_force,0.3979218052156033,0.13820510017699425,0.1515900607741746,16.58418865329507,0.8011689317824688,6000.0
crossing_90_d_6,anisotropic_geometry,0.3850544412996212,0.13453829368758163,0.16598976830196083,15.60603541356449,0.8138199925037579,6000.0
crossing_90_d_6,constant_velocity,0.4155768140348152,0.14370671287243322,0.14779568726803974,17.37115686820505,0.783134040508994,6000.0
crossing_90_d_6,decoupled_geometry,0.38113386263855986,0.13183632412246046,0.1463372834781478,15.60603541356449,0.8175920166080608,6000.0
crossing_90_d_7,calibrated_persistence,0.40889474336479265,0.14096516351306793,0.15110784249799675,20.748955062545097,0.7512592070326183,6000.0
crossing_90_d_7,isotropic_social_force,0.39359322818529835,0.13603465147786764,0.14781380757536106,19.416766493340546,0.7695274562896034,6000.0
crossing_90_d_7,anisotropic_geometry,0.37908493624151995,0.13179734372528745,0.16064984322560255,18.308750684813738,0.7862052610402719,6000.0
crossing_90_d_7,constant_velocity,0.41395018469234224,0.14261988612905097,0.1502423326984649,20.75861259523516,0.745070484232387,6000.0
crossing_90_d_7,decoupled_geometry,0.3796429810423034,0.13073360933416886,0.1462872118928781,18.32776701073812,0.7855753501887436,6000.0
crossing_90_d_8,calibrated_persistence,0.4051840417461969,0.13985900681340885,0.15396295067570243,23.394317979385654,0.7394616202560096,6000.0
crossing_90_d_8,isotropic_social_force,0.3898906036883427,0.13492338855555758,0.1504381833537703,21.794601998469208,0.7587581883411583,6000.0
crossing_90_d_8,anisotropic_geometry,0.37768848464382254,0.13124904780523516,0.16474401891885823,20.840699341556032,0.7736218371551626,6000.0
crossing_90_d_8,constant_velocity,0.4097709906971584,0.14138049501285607,0.15241849609686084,23.394317979385647,0.7335292998925486,6000.0
crossing_90_d_8,decoupled_geometry,0.37857098297211944,0.13062180796539744,0.14935982742023696,20.84265868350847,0.7725627010830727,6000.0
crossing_90_e_1,calibrated_persistence,0.39764605290211374,0.1373383532812232,0.1450191717283411,13.763418902294532,0.8408119516379917,6000.0
crossing_90_e_1,isotropic_social_force,0.386804509227679,0.1344560259805283,0.15115616012550795,13.165315545223361,0.8493739237457166,6000.0
crossing_90_e_1,anisotropic_geometry,0.37668484676183134,0.13214242879515697,0.16672517192005182,12.312812628160529,0.8571522493768022,6000.0
crossing_90_e_1,constant_velocity,0.4018489250680697,0.13870847100736383,0.14274253153706146,13.763418902294532,0.8374291305651946,6000.0
crossing_90_e_1,decoupled_geometry,0.3671944533623557,0.12708017060441146,0.14134670823533835,12.312812628160561,0.8642595354363477,6000.0
crossing_90_e_2,calibrated_persistence,0.4187896441760067,0.14427417098516926,0.16200347034157023,15.863368100054318,0.8190983007395589,6000.0
crossing_90_e_2,isotropic_social_force,0.4080493097514521,0.1411677056991997,0.16550420816099806,15.078923384048448,0.8282581749920646,6000.0
crossing_90_e_2,anisotropic_geometry,0.3973490299321313,0.1379604054254244,0.17921666218723006,14.004624660160946,0.837147251484293,6000.0
crossing_90_e_2,constant_velocity,0.4222177600239506,0.14535467392230633,0.15903958623047698,15.863368100054293,0.816124539560575,6000.0
crossing_90_e_2,decoupled_geometry,0.3906717383707235,0.13439061465732874,0.15694332593490784,14.004624660160946,0.8425746133887214,6000.0
crossing_90_e_3,calibrated_persistence,0.429032098704324,0.14936300054733018,0.16399944843470218,16.144015318367742,0.779276792879366,6000.0
crossing_90_e_3,isotropic_social_force,0.4146278194733716,0.14478314344858373,0.16511208138739042,15.370124741602927,0.7938490684159845,6000.0
crossing_90_e_3,anisotropic_geometry,0.40006711905717823,0.1403298028821037,0.17542760012138114,14.547984891346324,0.8080738534099936,6000.0
crossing_90_e_3,constant_velocity,0.43226193756790265,0.1503296004024251,0.1601153917794104,16.148975037350404,0.7759409873650618,6000.0
crossing_90_e_3,decoupled_geometry,0.39526584618912863,0.1376890456148748,0.1582199271938357,14.547984891346351,0.8126528866747784,6000.0
crossing_90_e_4,calibrated_persistence,0.4343682471070137,0.1504510861595484,0.1533108122283643,22.078540561754618,0.7225235118068526,6000.0
crossing_90_e_4,isotropic_social_force,0.4180786133160298,0.14496958591529324,0.15098270152239032,20.947334936312995,0.7429450610258118,6000.0
crossing_90_e_4,anisotropic_geometry,0.40129688566238364,0.13969595612760585,0.16016567534822962,19.696458940809112,0.7631673210841139,6000.0
crossing_90_e_4,constant_velocity,0.43825834970623145,0.1515690465193877,0.14983047004214617,22.078540561754586,0.7175312247388987,6000.0
crossing_90_e_4,decoupled_geometry,0.3999108163824968,0.13831371612744506,0.14671841567971236,19.696458940809094,0.7648005238341815,6000.0
crossing_90_e_5,calibrated_persistence,0.4268939747515541,0.14752676863970696,0.14944178326494115,26.015405053486802,0.6756137866124264,6000.0
crossing_90_e_5,isotropic_social_force,0.4093164472091183,0.1416222240542116,0.14524247937102616,24.206812518379085,0.7017772781814524,6000.0
crossing_90_e_5,anisotropic_geometry,0.3903063519567101,0.13524333804611374,0.1504718601109159,22.73458152256252,0.7288350356212864,6000.0
crossing_90_e_5,constant_velocity,0.43117425263222015,0.14868795398562107,0.1456664807399999,26.01540505348681,0.6690762200470967,6000.0
crossing_90_e_5,decoupled_geometry,0.3924435661989002,0.13520036816952777,0.14169529295085823,22.734581522562515,0.7258572500011853,6000.0
crossing_90_e_6,calibrated_persistence,0.4084970460253516,0.1407504108195447,0.15517587054535922,23.36611614530775,0.7519667836180373,6000.0
crossing_90_e_6,isotropic_social_force,0.3952597378217732,0.13674744212942266,0.15341206441791705,21.91129116047376,0.767781315329736,6000.0
crossing_90_e_6,anisotropic_geometry,0.38297832387372444,0.13290577821054603,0.164994001794858,20.92130092365216,0.7819880032769124,6000.0
crossing_90_e_6,constant_velocity,0.4125595140328914,0.1420016677113902,0.15273668401905957,23.366116145307757,0.7470089147756935,6000.0
crossing_90_e_6,decoupled_geometry,0.38094508339357896,0.13143410282921003,0.1503715475330838,20.930714016031004,0.7842967195775457,6000.0
