dataset,parameters,vector_rmse_mps,displacement_mae_m,median_angle_deg,false_contact_rate,runs
altered geometry,36868,0.17825914747728558,0.06050038601326973,15.587837122332362,0.00682638309818047,3
corridor held-out,36868,0.18062379268510975,0.06111728204180873,11.615457487933842,0.004637018189584321,5
crossing external,36868,0.3626316368503754,0.12400196102089757,11.992604465741804,0.010673788265461106,13
