horizon_s,model,run,vector_rmse_mps,displacement_mae_m,speed_mae_mps,median_angle_deg,vector_r2,samples
0.2,persistence,bi_corr_400_a_03,0.17052231328992673,0.029099186333645756,0.07923814095178229,13.95229157299904,0.8630662003086473,6000.0
0.2,persistence,bi_corr_400_b_02,0.21134340640756435,0.037610834379700774,0.11670800335169956,5.045296594451271,0.9722540732000556,5025.0
0.2,persistence,bi_corr_400_b_04,0.17440915329991186,0.03046387747990391,0.08076581388159539,12.133057971003272,0.9061173186140327,6000.0
0.2,persistence,bi_corr_400_b_06,0.16460073835590977,0.02787529730976004,0.07502092347526616,14.07418169548759,0.843581571556961,6000.0
0.2,persistence,bi_corr_400_b_10,0.15287930620331908,0.026696428412583285,0.06845262084739501,12.568296981055637,0.8982824012374465,6000.0
0.2,isotropic_social_force,bi_corr_400_a_03,0.1692573443513306,0.02899729966483615,0.07817658703019591,13.355281350897217,0.8650902700104672,6000.0
0.2,isotropic_social_force,bi_corr_400_b_02,0.20885526149353667,0.03719301072024596,0.11644214082636099,5.0139643226246156,0.972903532847148,5025.0
0.2,isotropic_social_force,bi_corr_400_b_04,0.17053194862026394,0.029810456497342,0.07784523275058818,11.601607657004028,0.9102450422495396,6000.0
0.2,isotropic_social_force,bi_corr_400_b_06,0.16387232392813217,0.027929274826640194,0.07414398661272043,13.845997954515548,0.8449629181433777,6000.0
0.2,isotropic_social_force,bi_corr_400_b_10,0.1503208182697273,0.026327590362733685,0.06710288977427187,11.759963157081685,0.9016584712262179,6000.0
0.2,anisotropic_geometry,bi_corr_400_a_03,0.16403754729168768,0.027939364293470693,0.07544552203017212,13.506791708331207,0.8732830351240194,6000.0
0.2,anisotropic_geometry,bi_corr_400_b_02,0.203785104482911,0.0362473305680645,0.11227956843992011,4.979286981708787,0.9742031485455187,5025.0
0.2,anisotropic_geometry,bi_corr_400_b_04,0.16781325643603623,0.029245123521144403,0.07635030275143244,11.384978951456088,0.9130840527731178,6000.0
0.2,anisotropic_geometry,bi_corr_400_b_06,0.159851475954282,0.02719005516413192,0.0737076810031583,13.55671687070166,0.8524777045760579,6000.0
0.2,anisotropic_geometry,bi_corr_400_b_10,0.1496806896649307,0.026151693912108823,0.0676024186715581,11.56334213215442,0.902494246204983,6000.0
0.2,decoupled_geometry,bi_corr_400_a_03,0.16544884384751726,0.028239575549400067,0.07596386475127677,13.506791708331207,0.8710932374443062,6000.0
0.2,decoupled_geometry,bi_corr_400_b_02,0.202486491416322,0.036013803134253314,0.11048741986060226,4.979286981708934,0.9745308799495757,5025.0
0.2,decoupled_geometry,bi_corr_400_b_04,0.16899720258629972,0.029498337791990098,0.07682438550142212,11.38497895145612,0.9118533180420105,6000.0
0.2,decoupled_geometry,bi_corr_400_b_06,0.16114999836197866,0.02742285767401253,0.07345415907111777,13.58525820585929,0.8500712324505713,6000.0
0.2,decoupled_geometry,bi_corr_400_b_10,0.1511649282303945,0.02646781836517704,0.06848681758126766,11.563342132154387,0.9005509182648068,6000.0
0.2,tensor_geometry,bi_corr_400_a_03,0.16048505541770364,0.027283419768310294,0.07418027299638165,13.244079160502373,0.8787121155044874,6000.0
0.2,tensor_geometry,bi_corr_400_b_02,0.2050242729434648,0.03631171930421285,0.11312407378090372,4.961334285935612,0.9738884657276138,5025.0
0.2,tensor_geometry,bi_corr_400_b_04,0.16549682861308754,0.028676385044805783,0.07614425343857745,11.25137912407197,0.9154669985740362,6000.0
0.2,tensor_geometry,bi_corr_400_b_06,0.1558744616013535,0.02644081376514499,0.0725849088309673,13.478137442496452,0.85972693292352,6000.0
0.2,tensor_geometry,bi_corr_400_b_10,0.1458509946496733,0.02536458242629934,0.06532837516079272,11.550452534025476,0.9074199345670492,6000.0
0.4,persistence,bi_corr_400_a_03,0.22112086556637953,0.07777169152315963,0.08498262675424656,23.203940554305586,0.7605133243181936,6000.0
0.4,persistence,bi_corr_400_b_02,0.22150588083592224,0.07732978227129593,0.07612280257666672,6.829312996323109,0.9691132783763595,4766.0
0.4,persistence,bi_corr_400_b_04,0.2303313751811378,0.08045085268264919,0.08435038444147401,18.912976363697457,0.8282229364553076,6000.0
0.4,persistence,bi_corr_400_b_06,0.22116652413190604,0.0762044813979359,0.08571352163360003,24.352425561911147,0.7028109854210816,6000.0
0.4,persistence,bi_corr_400_b_10,0.21857062630955476,0.0765086817591436,0.07999028820219856,21.07210064667099,0.7857973175525024,6000.0
0.4,isotropic_social_force,bi_corr_400_a_03,0.2148980339662073,0.07601388001936091,0.08243817179837391,21.635825573165857,0.7738030270629775,6000.0
0.4,isotropic_social_force,bi_corr_400_b_02,0.2199951143523149,0.07765255700890168,0.08873637797332874,6.611289896993512,0.9695331633378191,4766.0
0.4,isotropic_social_force,bi_corr_400_b_04,0.22160196649978145,0.07788978433672988,0.08055458158380821,17.58942526999679,0.8409966796963719,6000.0
0.4,isotropic_social_force,bi_corr_400_b_06,0.21665379108802915,0.07586851918442127,0.08444559712274724,22.834937248841257,0.7148150830575764,6000.0
0.4,isotropic_social_force,bi_corr_400_b_10,0.210844128231033,0.07457163924152702,0.07720312313098181,19.141492628934287,0.8006738246984024,6000.0
0.4,anisotropic_geometry,bi_corr_400_a_03,0.20330137136072893,0.07110232717835933,0.07806349919748835,20.74523603925229,0.7975571137482839,6000.0
0.4,anisotropic_geometry,bi_corr_400_b_02,0.21325875534743968,0.07464290475028817,0.08629778407124772,6.245339213031546,0.9713704163438499,4766.0
0.4,anisotropic_geometry,bi_corr_400_b_04,0.21210696607447177,0.07431592768233357,0.07848115469450696,16.864597650439546,0.8543304303295748,6000.0
0.4,anisotropic_geometry,bi_corr_400_b_06,0.20666995479354616,0.07157774664725329,0.08322934846283843,21.562033944925375,0.7404932517977814,6000.0
0.4,anisotropic_geometry,bi_corr_400_b_10,0.20232354891004609,0.07145695527493397,0.077110148637847,18.336701171216248,0.8164585407567364,6000.0
0.4,decoupled_geometry,bi_corr_400_a_03,0.2043982504237367,0.07157653751006086,0.07925172973035001,20.74523603925232,0.7953667262121537,6000.0
0.4,decoupled_geometry,bi_corr_400_b_02,0.20690493853242953,0.07099089227022055,0.06639885462330891,6.245339213031517,0.9730509782080979,4766.0
0.4,decoupled_geometry,bi_corr_400_b_04,0.2123666598803203,0.07424357415519316,0.07856947702034532,16.867007220867904,0.8539735100080336,6000.0
0.4,decoupled_geometry,bi_corr_400_b_06,0.20814015822572196,0.07192719849839317,0.08163471697521636,21.61909139013765,0.7367879743345367,6000.0
0.4,decoupled_geometry,bi_corr_400_b_10,0.20024147138755352,0.07046699482826185,0.07551672790285685,18.347773692890982,0.8202166919042866,6000.0
0.4,tensor_geometry,bi_corr_400_a_03,0.18094992345164385,0.06280521741191054,0.07805455355270335,18.18748829354353,0.8396242458594319,6000.0
0.4,tensor_geometry,bi_corr_400_b_02,0.21870196604145234,0.07134863120913336,0.07391801174102768,5.660405680979299,0.9698902835023211,4766.0
0.4,tensor_geometry,bi_corr_400_b_04,0.1952899290524198,0.06698640453930257,0.08039854245070187,15.065414710455112,0.876513731141244,6000.0
0.4,tensor_geometry,bi_corr_400_b_06,0.18455211274175046,0.06308673681635435,0.08169283632458482,19.608953248528547,0.7930659253072677,6000.0
0.4,tensor_geometry,bi_corr_400_b_10,0.1741102471782091,0.06072515210296528,0.07098276588643238,15.886928719883697,0.864077931272691,6000.0
0.8,persistence,bi_corr_400_a_03,0.22532956645718558,0.15738964633091806,0.070267506398732,27.30107015917745,0.7239837911216491,6000.0
0.8,persistence,bi_corr_400_b_02,0.1778557418373163,0.11376822948207621,0.07034210385958216,3.8428512629217924,0.9797317307568305,4248.0
