dataset,model,median_rmse_mps,minimum_rmse_mps,maximum_rmse_mps
altered geometry,gel_ped,0.17911192026082368,0.17744599312124576,0.18324499404740677
altered geometry,interaction_mlp,0.1846702086081552,0.1792171261513927,0.1878726292710978
altered geometry,tensor_residual,0.1809546695807285,0.1801202452312717,0.18614191083989015
corridor held-out,gel_ped,0.18258993824921174,0.18025320891041452,0.1838609377561619
corridor held-out,interaction_mlp,0.18617055273531027,0.1811797956072402,0.18836719104348681
corridor held-out,tensor_residual,0.185176386249152,0.18201615974042273,0.18671971761700906
crossing external,gel_ped,0.3562032573696936,0.34951926354445145,0.3572200491257588
crossing external,interaction_mlp,0.36767149151107437,0.3552926949291422,0.3753295719557904
crossing external,tensor_residual,0.34994452186369196,0.3485882144072168,0.35297348639504034
