selection,candidate,held_out_run,vector_rmse_mps,best_epoch,epochs_trained
mlp_configuration,0,bi_corr_400_b_07,0.2255640059276677,40.0,40.0
mlp_configuration,1,bi_corr_400_b_07,0.20303418220217212,40.0,40.0
mlp_configuration,2,bi_corr_400_b_07,0.20247131773108754,40.0,40.0
mlp_configuration,3,bi_corr_400_b_07,0.20033943792461062,60.0,60.0
mlp_configuration,4,bi_corr_400_b_07,0.19705441706204896,40.0,45.0
speed_cap,2,bi_corr_400_b_09,0.18932358812478448,,
speed_cap,2.5,bi_corr_400_b_09,0.18932358812478448,,
speed_cap,3,bi_corr_400_b_09,0.18932358812478448,,
speed_cap,100,bi_corr_400_b_09,0.18932358812478448,,
ridge_penalty,0.01,bi_corr_400_b_09,0.18671557810146147,,
ridge_penalty,0.1,bi_corr_400_b_09,0.18671553915418435,,
ridge_penalty,1,bi_corr_400_b_09,0.1867151502599273,,
ridge_penalty,10,bi_corr_400_b_09,0.1867113189710138,,
ridge_penalty,100,bi_corr_400_b_09,0.186678579408417,,
mlp_configuration,0,bi_corr_400_b_09,0.17615288805761117,40.0,40.0
mlp_configuration,1,bi_corr_400_b_09,0.16929762820951233,40.0,40.0
mlp_configuration,2,bi_corr_400_b_09,0.16931209472187975,40.0,40.0
mlp_configuration,3,bi_corr_400_b_09,0.1721044824750906,60.0,60.0
mlp_configuration,4,bi_corr_400_b_09,0.17038577202032962,60.0,60.0
residual_epoch_gate,20|0,bi_corr_400_a_01,0.1767517051978935,20.0,20.0
residual_epoch_gate,20|1,bi_corr_400_a_01,0.17675978578638135,20.0,20.0
residual_epoch_gate,20|4,bi_corr_400_a_01,0.17687111905871883,20.0,20.0
residual_epoch_gate,40|0,bi_corr_400_a_01,0.16924651851277914,40.0,40.0
residual_epoch_gate,40|1,bi_corr_400_a_01,0.1691721020740415,40.0,40.0
residual_epoch_gate,40|4,bi_corr_400_a_01,0.1691869603929799,40.0,40.0
residual_epoch_gate,80|0,bi_corr_400_a_01,0.17004484874958023,80.0,80.0
residual_epoch_gate,80|1,bi_corr_400_a_01,0.16998172552471136,80.0,80.0
residual_epoch_gate,80|4,bi_corr_400_a_01,0.17001838914239623,80.0,80.0
residual_epoch_gate,120|0,bi_corr_400_a_01,0.17004484874958023,120.0,120.0
residual_epoch_gate,120|1,bi_corr_400_a_01,0.16998172552471136,120.0,120.0
residual_epoch_gate,120|4,bi_corr_400_a_01,0.17001838914239623,120.0,120.0
residual_epoch_gate,180|0,bi_corr_400_a_01,0.17004484874958023,180.0,180.0
residual_epoch_gate,180|1,bi_corr_400_a_01,0.16998172552471136,180.0,180.0
residual_epoch_gate,180|4,bi_corr_400_a_01,0.17001838914239623,180.0,180.0
residual_epoch_gate,20|0,bi_corr_400_a_02,0.18971019619450002,20.0,20.0
residual_epoch_gate,20|1,bi_corr_400_a_02,0.18790300225487758,20.0,20.0
residual_epoch_gate,20|4,bi_corr_400_a_02,0.18776059827470287,20.0,20.0
residual_epoch_gate,40|0,bi_corr_400_a_02,0.18374644244439647,40.0,40.0
residual_epoch_gate,40|1,bi_corr_400_a_02,0.18257693588996987,40.0,40.0
residual_epoch_gate,40|4,bi_corr_400_a_02,0.18250997144959905,40.0,40.0
residual_epoch_gate,80|0,bi_corr_400_a_02,0.18374644244439647,80.0,80.0
residual_epoch_gate,80|1,bi_corr_400_a_02,0.18257693588996987,80.0,80.0
residual_epoch_gate,80|4,bi_corr_400_a_02,0.18250997144959905,80.0,80.0
residual_epoch_gate,120|0,bi_corr_400_a_02,0.18374644244439647,120.0,120.0
residual_epoch_gate,120|1,bi_corr_400_a_02,0.18257693588996987,120.0,120.0
residual_epoch_gate,120|4,bi_corr_400_a_02,0.18250997144959905,120.0,120.0
residual_epoch_gate,180|0,bi_corr_400_a_02,0.18374644244439647,180.0,180.0
residual_epoch_gate,180|1,bi_corr_400_a_02,0.18257693588996987,180.0,180.0
residual_epoch_gate,180|4,bi_corr_400_a_02,0.18250997144959905,180.0,180.0
residual_epoch_gate,20|0,bi_corr_400_b_01,0.2001950941358137,20.0,20.0
residual_epoch_gate,20|1,bi_corr_400_b_01,0.20056912358033438,20.0,20.0
residual_epoch_gate,20|4,bi_corr_400_b_01,0.2013235815071605,20.0,20.0
residual_epoch_gate,40|0,bi_corr_400_b_01,0.19820118808528742,40.0,40.0
residual_epoch_gate,40|1,bi_corr_400_b_01,0.19823266832723177,40.0,40.0
residual_epoch_gate,40|4,bi_corr_400_b_01,0.19861303589581566,40.0,40.0
residual_epoch_gate,80|0,bi_corr_400_b_01,0.19820118808528742,80.0,80.0
residual_epoch_gate,80|1,bi_corr_400_b_01,0.19823266832723177,80.0,80.0
residual_epoch_gate,80|4,bi_corr_400_b_01,0.19861303589581566,80.0,80.0
residual_epoch_gate,120|0,bi_corr_400_b_01,0.19820118808528742,120.0,120.0
residual_epoch_gate,120|1,bi_corr_400_b_01,0.19823266832723177,120.0,120.0
residual_epoch_gate,120|4,bi_corr_400_b_01,0.19861303589581566,120.0,120.0
residual_epoch_gate,180|0,bi_corr_400_b_01,0.19820118808528742,180.0,180.0
residual_epoch_gate,180|1,bi_corr_400_b_01,0.19823266832723177,180.0,180.0
residual_epoch_gate,180|4,bi_corr_400_b_01,0.19861303589581566,180.0,180.0
residual_epoch_gate,20|0,bi_corr_400_b_03,0.20964710866872976,20.0,20.0
residual_epoch_gate,20|1,bi_corr_400_b_03,0.2104215593679974,20.0,20.0
residual_epoch_gate,20|4,bi_corr_400_b_03,0.21172308550354826,20.0,20.0
residual_epoch_gate,40|0,bi_corr_400_b_03,0.20798269515078502,40.0,40.0
residual_epoch_gate,40|1,bi_corr_400_b_03,0.20879313735406574,40.0,40.0
residual_epoch_gate,40|4,bi_corr_400_b_03,0.21010941761126858,40.0,40.0
residual_epoch_gate,80|0,bi_corr_400_b_03,0.20798269515078502,80.0,80.0
residual_epoch_gate,80|1,bi_corr_400_b_03,0.20879313735406574,80.0,80.0
residual_epoch_gate,80|4,bi_corr_400_b_03,0.21010941761126858,80.0,80.0
residual_epoch_gate,120|0,bi_corr_400_b_03,0.20798269515078502,120.0,120.0
residual_epoch_gate,120|1,bi_corr_400_b_03,0.20879313735406574,120.0,120.0
residual_epoch_gate,120|4,bi_corr_400_b_03,0.21010941761126858,120.0,120.0
residual_epoch_gate,180|0,bi_corr_400_b_03,0.20798269515078502,180.0,180.0
residual_epoch_gate,180|1,bi_corr_400_b_03,0.20879313735406574,180.0,180.0
residual_epoch_gate,180|4,bi_corr_400_b_03,0.21010941761126858,180.0,180.0
residual_epoch_gate,20|0,bi_corr_400_b_05,0.19530533806503403,20.0,20.0
residual_epoch_gate,20|1,bi_corr_400_b_05,0.19450008278879827,20.0,20.0
residual_epoch_gate,20|4,bi_corr_400_b_05,0.1950765224583817,20.0,20.0
residual_epoch_gate,40|0,bi_corr_400_b_05,0.1905622115353435,40.0,40.0
residual_epoch_gate,40|1,bi_corr_400_b_05,0.18996616884412423,40.0,40.0
residual_epoch_gate,40|4,bi_corr_400_b_05,0.19032503769885245,40.0,40.0
residual_epoch_gate,80|0,bi_corr_400_b_05,0.1905622115353435,80.0,80.0
residual_epoch_gate,80|1,bi_corr_400_b_05,0.18996616884412423,80.0,80.0
residual_epoch_gate,80|4,bi_corr_400_b_05,0.19032503769885245,80.0,80.0
residual_epoch_gate,120|0,bi_corr_400_b_05,0.1905622115353435,120.0,120.0
residual_epoch_gate,120|1,bi_corr_400_b_05,0.18996616884412423,120.0,120.0
residual_epoch_gate,120|4,bi_corr_400_b_05,0.19032503769885245,120.0,120.0
residual_epoch_gate,180|0,bi_corr_400_b_05,0.1905622115353435,180.0,180.0
residual_epoch_gate,180|1,bi_corr_400_b_05,0.18996616884412423,180.0,180.0
residual_epoch_gate,180|4,bi_corr_400_b_05,0.19032503769885245,180.0,180.0
residual_epoch_gate,20|0,bi_corr_400_b_07,0.19640248903635102,20.0,20.0
residual_epoch_gate,20|1,bi_corr_400_b_07,0.19728415143406774,20.0,20.0
residual_epoch_gate,20|4,bi_corr_400_b_07,0.1970191179106622,20.0,20.0
residual_epoch_gate,40|0,bi_corr_400_b_07,0.19871591321918813,40.0,40.0
residual_epoch_gate,40|1,bi_corr_400_b_07,0.19999850595652532,40.0,40.0
residual_epoch_gate,40|4,bi_corr_400_b_07,0.1992918553254953,40.0,40.0
residual_epoch_gate,80|0,bi_corr_400_b_07,0.19871591321918813,80.0,80.0
residual_epoch_gate,80|1,bi_corr_400_b_07,0.19999850595652532,80.0,80.0
residual_epoch_gate,80|4,bi_corr_400_b_07,0.1992918553254953,80.0,80.0
residual_epoch_gate,120|0,bi_corr_400_b_07,0.19871591321918813,120.0,120.0
residual_epoch_gate,120|1,bi_corr_400_b_07,0.19999850595652532,120.0,120.0
residual_epoch_gate,120|4,bi_corr_400_b_07,0.1992918553254953,120.0,120.0
residual_epoch_gate,180|0,bi_corr_400_b_07,0.19871591321918813,180.0,180.0
residual_epoch_gate,180|1,bi_corr_400_b_07,0.19999850595652532,180.0,180.0
residual_epoch_gate,180|4,bi_corr_400_b_07,0.1992918553254953,180.0,180.0
residual_epoch_gate,20|0,bi_corr_400_b_09,0.17100285792362047,20.0,20.0
residual_epoch_gate,20|1,bi_corr_400_b_09,0.1711900388179094,20.0,20.0
residual_epoch_gate,20|4,bi_corr_400_b_09,0.17135649346013723,20.0,20.0
residual_epoch_gate,40|0,bi_corr_400_b_09,0.16683415304961277,40.0,40.0
residual_epoch_gate,40|1,bi_corr_400_b_09,0.16692745508853948,40.0,40.0
residual_epoch_gate,40|4,bi_corr_400_b_09,0.16711345084521345,40.0,40.0
residual_epoch_gate,80|0,bi_corr_400_b_09,0.16683415304961277,80.0,80.0
residual_epoch_gate,80|1,bi_corr_400_b_09,0.16692745508853948,80.0,80.0
residual_epoch_gate,80|4,bi_corr_400_b_09,0.16711345084521345,80.0,80.0
residual_epoch_gate,120|0,bi_corr_400_b_09,0.16683415304961277,120.0,120.0
residual_epoch_gate,120|1,bi_corr_400_b_09,0.16692745508853948,120.0,120.0
residual_epoch_gate,120|4,bi_corr_400_b_09,0.16711345084521345,120.0,120.0
residual_epoch_gate,180|0,bi_corr_400_b_09,0.16683415304961277,180.0,180.0
residual_epoch_gate,180|1,bi_corr_400_b_09,0.16692745508853948,180.0,180.0
residual_epoch_gate,180|4,bi_corr_400_b_09,0.16711345084521345,180.0,180.0
direct_blend_weight,0,bi_corr_400_a_01,0.16924651851277914,,
direct_blend_weight,0.25,bi_corr_400_a_01,0.1687184632964272,,
direct_blend_weight,0.5,bi_corr_400_a_01,0.16866786260987798,,
direct_blend_weight,0.75,bi_corr_400_a_01,0.16909514507970635,,
direct_blend_weight,1,bi_corr_400_a_01,0.1699967073020376,,
direct_blend_weight,0,bi_corr_400_a_02,0.18374644244439647,,
direct_blend_weight,0.25,bi_corr_400_a_02,0.18095570975721598,,
direct_blend_weight,0.5,bi_corr_400_a_02,0.18074213171539252,,
direct_blend_weight,0.75,bi_corr_400_a_02,0.1831147262260232,,
direct_blend_weight,1,bi_corr_400_a_02,0.18797559215270263,,
direct_blend_weight,0,bi_corr_400_b_01,0.19820118808528742,,
direct_blend_weight,0.25,bi_corr_400_b_01,0.19579667473942738,,
direct_blend_weight,0.5,bi_corr_400_b_01,0.19479685173109448,,
direct_blend_weight,0.75,bi_corr_400_b_01,0.1952233023345475,,
direct_blend_weight,1,bi_corr_400_b_01,0.19706676743986418,,
direct_blend_weight,0,bi_corr_400_b_03,0.20798269515078502,,
direct_blend_weight,0.25,bi_corr_400_b_03,0.20482798928007345,,
direct_blend_weight,0.5,bi_corr_400_b_03,0.20317570504644672,,
direct_blend_weight,0.75,bi_corr_400_b_03,0.2030625205890857,,
direct_blend_weight,1,bi_corr_400_b_03,0.20449099156963932,,
direct_blend_weight,0,bi_corr_400_b_05,0.1905622115353435,,
direct_blend_weight,0.25,bi_corr_400_b_05,0.18851084264016252,,
direct_blend_weight,0.5,bi_corr_400_b_05,0.18793273767489954,,
direct_blend_weight,0.75,bi_corr_400_b_05,0.1888414275429957,,
direct_blend_weight,1,bi_corr_400_b_05,0.1912157169073342,,
direct_blend_weight,0,bi_corr_400_b_07,0.19871591321918813,,
direct_blend_weight,0.25,bi_corr_400_b_07,0.19415449591925424,,
direct_blend_weight,0.5,bi_corr_400_b_07,0.19206224649352036,,
direct_blend_weight,0.75,bi_corr_400_b_07,0.19251968443244985,,
direct_blend_weight,1,bi_corr_400_b_07,0.1955089138202057,,
direct_blend_weight,0,bi_corr_400_b_09,0.16683415304961277,,
direct_blend_weight,0.25,bi_corr_400_b_09,0.16668924768439733,,
direct_blend_weight,0.5,bi_corr_400_b_09,0.16696061213941324,,
direct_blend_weight,0.75,bi_corr_400_b_09,0.16764622501241502,,
direct_blend_weight,1,bi_corr_400_b_09,0.1687410369721233,,
