horizon_s,model,vector_rmse_mps,displacement_mae_m,median_angle_deg,vector_r2
0.2,persistence,0.17475098351132637,0.030349124783118752,11.554624962999362,0.8966603129834286
0.2,isotropic_social_force,0.17256753933259814,0.030051526414359597,11.115362888424619,0.89897204689535
0.2,anisotropic_geometry,0.1690336147659695,0.02935471349178407,10.998223328870433,0.9031084374447393
0.2,decoupled_geometry,0.16984949288850243,0.02952847850296661,11.003931595901987,0.901619917230254
0.2,tensor_geometry,0.16654632264505656,0.02881538406175465,10.897076509406377,0.9070428894593412
0.4,persistence,0.22253905440498006,0.07765309792683686,18.87415122458166,0.809291568424689
0.4,isotropic_social_force,0.21679860682747315,0.07639927595818816,17.562594123586344,0.8199643555706295
0.4,anisotropic_geometry,0.20753211929724652,0.07261917230663366,16.750781603773,0.8360419505952453
0.4,decoupled_geometry,0.20641029568995242,0.07184103945242593,16.764889511236074,0.8358791761334217
0.4,tensor_geometry,0.19072083569309511,0.06499042841593322,14.881838130678037,0.8686344234165911
0.8,persistence,0.21375685478653733,0.14651080055690902,20.041514976983688,0.7916461252815414
0.8,isotropic_social_force,0.207500762285785,0.14289421479243405,17.786167973647714,0.8058002893558477
0.8,anisotropic_geometry,0.1973864300325122,0.13519373705714693,16.803943415029217,0.8269020666644534
0.8,decoupled_geometry,0.19559665929923278,0.13289158206489543,16.827931939691204,0.827850130646454
0.8,tensor_geometry,0.17506318654676895,0.11639129201800917,13.124752944318653,0.8776927397145451
