model,initial_lane_order,final_lane_order,mean_lane_order,minimum_separation_m,mean_speed_mps
isotropic_restriction,0.10072681704260651,0.08771929824561403,0.09022074416811257,0.4299999999999908,0.018224347078705367
anisotropic_pilot,0.16252873563218392,0.13793103448275862,0.14266136162687887,0.4299999999999959,0.029751819511422698
avm_baseline,0.4066666666666666,0.26666666666666666,0.3435897435897436,0.39876274223303565,0.5100275509699678
