model,mean_vector_rmse,mean_displacement_mae,mean_angle,mean_r2
persistence,0.20815986796918906,0.07140788011927543,25.849221948568907,0.6629864707507456
isotropic_social_force,0.20513446175524833,0.07190937492937832,24.270667576784444,0.6725043145932207
anisotropic_geometry,0.19626228941810372,0.06803990557838897,23.294519743867355,0.7001902397957163
decoupled_geometry,0.1968259824730503,0.06794742359758144,23.42455478846304,0.6981638324247218
tensor_geometry,0.17075636098370695,0.05857903964438308,20.313631951273837,0.7733333959881911
