calibration_runs,subset,training_run_names,maximum_samples_per_training_run,dataset,run,model,vector_rmse_mps,displacement_mae_m,speed_mae_mps,median_angle_deg,vector_r2,samples
1,1,bi_corr_400_a_01,750,corridor held-out,bi_corr_400_a_03,direct_network,0.2622861831078658,0.08570891163872947,0.13325839087526944,16.9129853575501,0.7044903188434849,6000.0
1,1,bi_corr_400_a_01,750,corridor held-out,bi_corr_400_a_03,gel_ped,0.23600739763267162,0.07708125971533192,0.11588473209957154,15.417066724930452,0.7607388866619961,6000.0
1,1,bi_corr_400_a_01,750,corridor held-out,bi_corr_400_b_02,direct_network,0.26197224239915556,0.08626932152928035,0.12767408513119388,5.567740364164631,0.9565472150602364,4507.0
1,1,bi_corr_400_a_01,750,corridor held-out,bi_corr_400_b_02,gel_ped,0.245565961172193,0.0802969241389336,0.10354576748650941,5.672535960059773,0.9618193431224835,4507.0
1,1,bi_corr_400_a_01,750,corridor held-out,bi_corr_400_b_04,direct_network,0.33204925145348424,0.09781401020296171,0.12004749075455813,15.574228723023031,0.6573453471349451,6000.0
1,1,bi_corr_400_a_01,750,corridor held-out,bi_corr_400_b_04,gel_ped,0.3031312694491051,0.09081539758055594,0.10828359113197474,14.972075567929812,0.7144296598485615,6000.0
1,1,bi_corr_400_a_01,750,corridor held-out,bi_corr_400_b_06,direct_network,0.39472384752069056,0.12286812658841671,0.16373907519562106,23.44919816367328,0.22556083739858335,6000.0
1,1,bi_corr_400_a_01,750,corridor held-out,bi_corr_400_b_06,gel_ped,0.34375902497238187,0.10769358885665126,0.1350687062909351,21.520495964621805,0.41263401343482786,6000.0
1,1,bi_corr_400_a_01,750,corridor held-out,bi_corr_400_b_10,direct_network,0.2272255457217457,0.0728020086357334,0.10430521851593157,14.223092417166365,0.7816331982623125,6000.0
1,1,bi_corr_400_a_01,750,corridor held-out,bi_corr_400_b_10,gel_ped,0.21032264213028984,0.06818641846198849,0.09616599913831823,13.706039978049565,0.8129126769945483,6000.0
1,1,bi_corr_400_a_01,750,altered geometry,bi_corr_400_a_04,direct_network,0.32655380966516734,0.10431166232163747,0.16452292395336904,22.1649162268667,0.41110883209011606,6000.0
1,1,bi_corr_400_a_01,750,altered geometry,bi_corr_400_a_04,gel_ped,0.2889946024834367,0.09270234585727928,0.14206229135576406,19.781699324728613,0.5387833313392961,6000.0
1,1,bi_corr_400_a_01,750,altered geometry,bi_corr_400_a_05,direct_network,0.2877748960684049,0.09479575499947501,0.1442064184229147,21.944969106666814,0.4769418137257171,6000.0
1,1,bi_corr_400_a_01,750,altered geometry,bi_corr_400_a_05,gel_ped,0.2591753048718023,0.08574588077460116,0.12442314894008633,20.465443218664788,0.5757406441882413,6000.0
1,1,bi_corr_400_a_01,750,altered geometry,bi_corr_400_b_08,direct_network,0.4290137288195251,0.1374214179622669,0.17843990861266448,34.48231110330275,-0.2546820411123216,6000.0
